cell_id,lat,lon,date,year,doy,label,sample_kind,n_detections,max_frp,temp_max,temp_min,temp_mean,rh_min,rh_mean,wind_max,wind_mean,precip_sum,vpd_max,precip_7d,precip_30d,days_since_rain_1mm,temp_max_7d_mean,rh_min_7d_mean,ffmc,dmc,dc,isi,bui,fwi,days_since_last_fire,split,ndvi,ndvi_normal,ndvi_anomaly,ndvi_change_32d,ndvi_stale_days
342_35,34.2,3.5,2014-10-05,2014,278,0,matched_negative,0,,24.0,12.4,18.2,27,53,17.7,12.3,0.0,2.17,0.0,25.8,8.0,24.642857142857142,40.714285714285715,92.33978209907548,43.75618026693071,1013.3890121916221,14.590833116439006,78.98618342212055,36.113996934642266,9999.0,train,0.13975890948207703,0.1522907636316737,-0.012531854149596677,-0.008363079842260951,6.0
343_-23,34.300000000000004,-2.3000000000000003,2012-10-16,2012,290,0,matched_negative,0,,23.5,6.3,14.2,28,61,12.2,6.5,0.0,2.07,3.199999999999999,15.2,4.0,22.842857142857145,32.857142857142854,91.8411871524069,97.42465124474556,1328.4151637879354,10.306807299573384,164.6594080868856,38.351451511125795,9999.0,train,0.19996497953955625,0.18638789617623966,0.013577083363316589,0.019026446982744333,2.0
343_81,34.300000000000004,8.1,2012-07-19,2012,201,1,positive,1,0.81,34.9,23.1,29.9,25,39,18.0,9.5,0.0,4.2,0.0,1.2000000000000008,51.0,40.01428571428572,18.0,96.32014469544588,785.6328921606311,1172.2363260625834,25.65691209398128,774.9092447703665,71.72943650203361,9999.0,train,0.11560634272240784,0.11820118664693384,-0.002594843924525997,-0.004485326802637454,9.0
343_81,34.300000000000004,8.1,2014-08-21,2014,233,0,matched_negative,0,,39.3,29.1,34.4,22,38,26.3,18.6,0.0,5.52,0.0,0.0,80.0,39.25714285714286,20.285714285714285,97.61210373904149,790.729965254243,1535.5743663472897,46.33104040838542,785.3364110411919,101.3095717621032,763.0,train,0.1137701335802333,0.11854892684869141,-0.004778793268458106,-0.0002522020709852524,9.0
343_90,34.300000000000004,9.0,2012-06-14,2012,166,0,matched_negative,0,,33.8,20.3,26.6,18,32,20.9,16.6,0.0,4.34,0.0,0.8999999999999999,58.0,35.0,21.0,97.08228305033776,404.02045624323796,657.1747573073923,32.890889481777954,400.9861669750437,83.0591165033323,9999.0,train,0.12360978119558089,0.12883347561297379,-0.005223694417392899,-0.025990911053436927,6.0
343_90,34.300000000000004,9.0,2020-07-10,2020,192,0,matched_negative,0,,33.9,22.1,27.4,33,57,19.5,14.1,0.0,3.52,0.0,0.0,41.0,34.54285714285714,22.285714285714285,94.48398704768854,425.0516494072408,981.7361967386386,21.543905174947636,424.43656255962617,64.56955612722084,9999.0,train,0.11972524646079896,0.1250869292023865,-0.005361682741587548,-0.010731853289262266,16.0
344_-7,34.4,-0.7000000000000001,2013-09-06,2013,249,0,matched_negative,0,,29.8,15.1,22.0,23,64,12.7,6.4,0.0,3.21,1.0999999999999985,9.1,7.0,27.3,26.285714285714285,95.71357102828422,169.15232674279355,1107.0492632152886,18.095665298652285,244.79544670814678,57.518568592410354,9999.0,train,0.15558136564818228,0.13978909231761863,0.015792273330563655,-0.006247187700376744,9.0
344_21,34.4,2.1,2012-09-23,2012,267,0,matched_negative,0,,33.6,20.5,27.2,13,23,20.9,15.4,0.0,4.54,0.7,8.8,16.0,32.18571428571428,12.857142857142858,97.18072863118074,191.3132026518544,1356.4092324782275,33.325827619003,282.88013525160744,83.40509023608351,9999.0,train,0.1572151794162428,0.1455152657502534,0.011699913665989409,0.00233871125776286,11.0
344_21,34.4,2.1,2013-09-16,2013,259,0,matched_negative,0,,31.7,16.9,24.2,19,36,32.1,12.0,0.0,3.77,4.9,12.0,6.0,30.0,25.857142857142858,95.6308171407647,107.06143835680953,1245.353454658061,47.56008497543171,176.244164982363,98.64292390833492,9999.0,train,0.15262205011455163,0.1455152657502534,0.007106784364298235,-0.0013208541663665696,3.0
344_21,34.4,2.1,2014-07-11,2014,192,0,matched_negative,0,,31.8,18.4,25.2,17,39,13.7,7.6,0.0,3.89,0.9000000000000005,5.1,22.0,33.9,14.571428571428571,97.45436402537896,267.13906035556874,639.4520165220737,24.04566259918394,266.97484299432256,68.61394301500385,9999.0,train,0.15508722592854096,0.15747860645619902,-0.0023913805276580546,-0.01892350686589525,16.0
344_21,34.4,2.1,2016-08-21,2016,234,0,matched_negative,0,,34.4,22.2,28.4,20,31,16.4,9.7,0.0,4.35,0.29999999999999244,5.6,10.0,34.57142857142857,17.428571428571427,97.19839540772966,173.4050512238972,1181.2679004418167,26.627207046638905,253.70360512748888,72.78517801611805,9999.0,train,0.14157493527951087,0.14547008376440307,-0.003895148484892197,-0.0038807425925659333,10.0
344_21,34.4,2.1,2020-09-29,2020,273,1,positive,1,1.28,31.1,14.9,23.5,17,29,20.5,17.1,0.0,3.75,0.0999999999999929,3.7,20.0,27.557142857142853,21.0,95.7814093558317,215.7697080423,1461.6672405317781,27.05640614705855,315.2114853998435,73.89976866867399,5.0,train,0.1392122716771613,0.1479192913686803,-0.008707019691518991,-0.00011092059192224779,1.0
344_21,34.4,2.1,2024-08-20,2024,233,0,matched_negative,0,,32.8,17.6,25.8,20,40,12.8,6.7,0.0,3.97,13.39999999999999,13.4,4.0,31.614285714285717,23.714285714285715,96.27109198358161,86.18674832931671,1061.5216304377366,19.612568854410778,143.28883544106702,55.66131591457699,30.0,val,0.13752239905284752,0.14547008376440307,-0.007947684711555547,0.0013181306225175382,9.0
344_59,34.4,5.9,2012-08-02,2012,215,0,matched_negative,0,,44.5,26.6,36.3,11,24,13.4,8.1,0.0,8.33,0.0,2.5,26.0,43.27142857142858,12.857142857142858,99.23567367876572,976.578861017469,1386.3875268250042,29.93251733505234,959.7460466673739,78.60057279088205,9999.0,train,0.10467735847244138,0.10415790824433702,0.0005194502281043595,0.0006891559378775086,7.0
